name,date_time,lat,lon,quality_flags,sea_water_temperature,sensor,station,bad_station
"Duck, NC",2015-12-26T12:00:00Z,36.1833,-75.7467,0;0;0,16.2,E1,8651370,False
"Oregon Inlet Marina, NC",2015-12-26T12:00:00Z,35.795,-75.5483,0;0;0,18.7,E1,8652587,False
"USCG Station Hatteras, NC",2015-12-26T12:00:00Z,35.2086,-75.7042,0;0;0,19.2,E1,8654467,False
"Beaufort, NC",2015-12-26T12:00:00Z,34.72,-76.67,0;0;0,17.3,E1,8656483,False
"Wilmington, NC",2015-12-26T12:00:00Z,34.2267,-77.9533,0;0;0,15.5,E1,8658120,False
"Wrightsville Beach, NC",2015-12-26T12:00:00Z,34.2133,-77.7867,0;0;0,18.7,E1,8658163,False
"Springmaid Pier, SC",2015-12-26T12:00:00Z,33.655,-78.9183,0;0;0,16.1,E1,8661070,False
"Charleston, SC",2015-12-26T12:00:00Z,32.7817,-79.925,0;0;0,17.8,E1,8665530,False
"Fort Pulaski, GA",2015-12-26T12:00:00Z,32.0333,-80.9017,0;0;0,17.4,E1,8670870,False
"Fernandina Beach, FL",2015-12-26T12:00:00Z,30.6717,-81.465,0;0;0,19.7,E1,8720030,False
"Mayport (Bar Pilots Dock), FL",2015-12-26T12:00:00Z,30.3967,-81.43,0;0;0,19.5,E2,8720218,False
"Dames Point, FL",2015-12-26T12:00:00Z,30.3867,-81.5583,0;0;0,20.2,E2,8720219,False
"Jacksonville University, FL",2015-12-26T12:00:00Z,30.3541,-81.6118,0;0;0,20.3,E1,8720245,False
"I-295 Bridge, St Johns River, FL",2015-12-26T12:00:00Z,30.1917,-81.6917,0;0;0,20.3,E2,8720357,False
"Red Bay Point, St Johns River, FL",2015-12-26T12:00:00Z,29.9783,-81.6283,0;0;0,20.5,E1,8720503,False
"Racy Point, St Johns River, FL",2015-12-26T12:00:00Z,29.8017,-81.5483,0;0;0,21.1,E2,8720625,False
"Trident Pier, FL",2015-12-26T12:00:00Z,28.4158,-80.5931,0;0;0,22.9,E1,8721604,False
"Lake Worth Pier, FL",2015-12-26T12:00:00Z,26.6117,-80.0333,0;0;0,25.7,E1,8722670,False
"Virginia Key, FL",2015-12-26T12:00:00Z,25.7314,-80.1618,0;0;0,25.1,E1,8723214,False
"Vaca Key, FL",2015-12-26T12:00:00Z,24.7117,-81.105,0;0;0,25.8,E1,8723970,False
"Key West, FL",2015-12-26T12:00:00Z,24.5557,-81.8079,0;0;0,25.7,E1,8724580,False
"Naples, FL",2015-12-26T12:00:00Z,26.1317,-81.8075,0;0;0,23.7,E1,8725110,False
"Fort Myers, FL",2015-12-26T12:00:00Z,26.6477,-81.8712,0;0;0,25.0,E1,8725520,False
"Port Manatee, FL",2015-12-26T12:00:00Z,27.6387,-82.5621,0;0;0,22.0,E1,8726384,False
"St Petersburg, FL",2015-12-26T12:00:00Z,27.7606,-82.6269,0;0;0,22.9,E1,8726520,False
"Old Port Tampa, FL",2015-12-26T12:00:00Z,27.8578,-82.5527,0;0;0,21.9,E1,8726607,False
"Mckay Bay Entrance, FL",2015-12-26T12:00:00Z,27.9133,-82.425,0;0;0,23.3,E1,8726667,False
"Clearwater Beach, FL",2015-12-26T12:00:00Z,27.9783,-82.8317,0;0;0,21.4,E1,8726724,False
"Cedar Key, FL",2015-12-26T12:00:00Z,29.135,-83.0317,0;0;0,20.5,E1,8727520,False
"Apalachicola, FL",2015-12-26T12:00:00Z,29.7267,-84.9817,0;0;0,19.1,E1,8728690,False
"Panama City, FL",2015-12-26T12:00:00Z,30.1523,-85.6669,0;0;0,20.2,E1,8729108,False
"Panama City Beach, FL",2015-12-26T12:00:00Z,30.2133,-85.8783,0;0;0,20.0,E1,8729210,False
"Pensacola, FL",2015-12-26T12:00:00Z,30.4044,-87.2112,0;0;0,18.1,E1,8729840,False
Tolomato River station,2015-00-26T12:00:00Z,29.9947223663,-81.3295593262,,20.357175827,NA,fldep.tolomatoriver.,False
Fort Myers station,2015-00-26T12:00:00Z,26.6493396759,-81.8809661865,,25.3074264526,NA,sccf.fortmyers.wq,False
"Broad River Lower, FL",2015-00-24T23:00:00Z,25.4839992523,-81.111000061,,25.9379253387,NA,enp.lbrf1.met,False
"Clear Water Pass, FL ",2015-00-24T23:00:00Z,25.2950000763,-81.0130004883,,26.5280227661,NA,enp.cwaf1.met,False
Gulf of Mexico station,2015-00-26T12:00:00Z,26.4430294037,-81.9711914062,,24.5606384277,NA,sccf.gulfofmexico.wq,False
Redfish Pass station,2015-00-26T12:00:00Z,26.5615692139,-82.1754379272,,24.7327251434,NA,sccf.redfishpass.wq,False
"Taylor River, FL",2015-00-25T00:00:00Z,25.2229995728,-80.6529998779,,26.4275836945,NA,enp.trrf1.met,False
"Little Madeira, FL",2015-00-25T00:00:00Z,25.1739997864,-80.6320037842,,26.3279132843,NA,enp.lmdf1.met,False
"Little Rabbit Key, FL",2015-00-24T19:00:00Z,24.9790000916,-80.8259963989,,26.1123218536,NA,enp.lrkf1.met,False
"Peterson Key, FL",2015-00-25T00:00:00Z,24.9169998169,-80.7460021973,,25.8791217804,NA,enp.pkyf1.met,False
"Highway Creek, FL",2015-00-24T23:00:00Z,25.2539997101,-80.4440002441,,26.0760707855,NA,enp.hcef1.met,False
"CAROCOOPS FRP2, Fripp Nearshore, SC",2015-00-26T12:00:00Z,32.2700004578,-80.4000015259,,18.6729373932,NA,carocoops.frp2.buoy,False
"CORMP ILM2, Wrightsville Beach Nearshore, NC",2015-53-26T11:53:00Z,34.1333007812,-77.7166976929,,18.4697647095,NA,cormp.ilm2.buoy,False
"Murray Key, FL",2015-00-25T00:00:00Z,25.1040000916,-80.9420013428,,26.2216472626,NA,enp.mukf1.met,False
"Gunboat Island, FL",2015-00-25T00:00:00Z,25.3759994507,-81.0289993286,,25.4881286621,NA,enp.gbif1.met,False
"Cannon Bay, FL",2015-00-25T00:00:00Z,25.7000007629,-81.1859970093,,26.637140274,NA,enp.cnbf1.met,False
"Blackwater Sound, FL",2015-00-24T23:00:00Z,25.1770000458,-80.43800354,,26.1314315796,NA,enp.bwsf1.met,False
"Butternut Key, FL",2015-00-25T00:00:00Z,25.0869998932,-80.5189971924,,25.9220905304,NA,enp.bnkf1.met,False
Shell Point station,2015-00-26T12:00:00Z,26.5225639343,-82.0079879761,,25.1190013885,NA,sccf.shellpoint.wq,False
"Whipray Basin, FL",2015-00-24T23:00:00Z,25.0769996643,-80.7279968262,,26.5565834045,NA,enp.wrbf1.met,False
"Garfield Bight, FL",2015-00-24T23:00:00Z,25.1700000763,-80.7969970703,,27.0916881561,NA,enp.gbtf1.met,False
"Little Blackwater, FL",2015-00-24T23:00:00Z,25.2119998932,-80.4329986572,,26.0102367401,NA,enp.lbsf1.met,False
"Lane River, FL ",2015-00-25T00:00:00Z,25.2840003967,-80.8939971924,,26.4864845276,NA,enp.lrif1.met,False
"Trout Cove, FL",2015-00-24T23:00:00Z,25.2089996338,-80.5329971313,,26.0177383423,NA,enp.tcvf1.met,False
St Lucie Inlet station,2015-00-26T12:00:00Z,27.1652774811,-80.1627807617,,24.9764251709,NA,fldep.stlucieinlet.,False
"White Water -West, FL",2015-00-24T23:00:00Z,25.2299995422,-80.9390029907,,26.2906570435,NA,enp.wwef1.met,False
"Duck Key, FL",2015-00-24T23:00:00Z,25.1800003052,-80.4899978638,,25.7980728149,NA,enp.dkkf1.met,False
"CORMP ILM3, Wrightsville Beach Offshore, NC",2015-08-26T12:08:00Z,33.9878005981,-77.3635025024,,21.9711112976,NA,cormp.ilm3.buoy,False
"Broad River, FL",2015-00-25T00:00:00Z,25.4759998322,-80.9899978638,,25.9069213867,NA,enp.bdvf1.met,False
"Willy Willy, FL",2015-00-25T00:00:00Z,25.6189994812,-81.0439987183,,25.2797794342,NA,enp.wiwf1.met,False
"Cane Patch, FL",2015-00-24T23:00:00Z,25.4200000763,-80.9430007935,,25.2642822266,NA,enp.canf1.met,False
usf_c10_imet,2015-35-26T11:35:00Z,27.1730003357,-82.9240036011,,23.4430122375,NA,usf.c10.imet,False
"CAROCOOPS SUN2, Sunset Nearshore, NC",2015-08-26T12:08:00Z,33.8300018311,-78.4800033569,,11.8863182068,NA,carocoops.sun2.buoy,False
Bing's Landing station,2015-00-26T12:00:00Z,29.6154174805,-81.2049179077,,22.1411647797,NA,fldep.bingslanding.,False
"Bob Allen, FL",2015-00-25T00:00:00Z,25.0240001678,-80.6819992065,,26.0352745056,NA,enp.bobf1.met,False
"CAROCOOPS CAP2, Capers Island Nearshore, SC",2015-08-26T12:08:00Z,32.7999992371,-79.6200027466,,11.7477092743,NA,carocoops.cap2.buoy,False
"Johnson Key, FL",2015-00-24T23:00:00Z,25.0499992371,-80.9039993286,,27.0102386475,NA,enp.jkyf1.met,False
